s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"Temp_00","Temp_01","Temp_02","Temp_03","Temp_04","Temp_05","Temp_06","Temp_07","Temp_08","Temp_09","Temp_10","Temp_11","Temp_12","Temp_13","Temp_15","Temp_18","Temp_19","Temp_21","Temp_24","Temp_25","Temp_27","Temp_30","Temp_31","Temp_32","Temp_33","Temp_36","Temp_37","Temp_39","Temp_42","Temp_43","Temp_44","Temp_45","Temp_46","Temp_47","Temp_48","Temp_49","Temp_50","Temp_51","Temp_52","Temp_53","Temp_14","Temp_16","Temp_17","Temp_20","Temp_22","Temp_23","Temp_26","Temp_28","Temp_29","Temp_34","Temp_35","Temp_38","Temp_40","Temp_41","Temp_54","Temp_55"
 2.7096384E+000, 2.1999971E+001, 2.1999807E+001, 2.1999942E+001, 2.2000096E+001, 2.1999934E+001, 2.2006410E+001, 2.1999918E+001, 2.1999997E+001, 2.1999794E+001, 2.2000042E+001, 2.2000063E+001, 2.1999474E+001, 2.1999890E+001, 2.1997221E+001, 2.1999833E+001, 2.1999940E+001, 2.1996929E+001, 2.1999921E+001, 2.2036454E+001, 2.2000832E+001, 2.1999919E+001, 2.1998842E+001, 2.2002232E+001, 2.2000063E+001, 2.2000379E+001, 2.1999921E+001, 2.1974930E+001, 2.2001703E+001, 2.1999661E+001, 2.2000427E+001, 2.1999805E+001, 2.1911624E+001, 2.1999746E+001, 2.1999888E+001, 2.1999741E+001, 2.2022658E+001, 2.1989668E+001, 6.2838028E+002, 2.1999945E+001, 2.1999906E+001, 2.2000114E+001, 2.1999985E+001, 2.1999967E+001, 2.1999758E+001, 2.2000119E+001, 2.1999998E+001, 2.1999864E+001, 2.1999922E+001, 2.1999970E+001, 2.6692486E+001, 2.1999844E+001, 2.2137953E+001, 2.2000150E+001, 2.2000049E+001, 2.2000005E+001, 2.1999751E+001
 3.0162110E+000, 2.1999890E+001, 2.1999745E+001, 2.1999896E+001, 2.2000515E+001, 2.1999936E+001, 2.2008703E+001, 2.1999802E+001, 2.1999960E+001, 2.1999734E+001, 2.2000005E+001, 2.2000083E+001, 2.1998834E+001, 2.1999814E+001, 2.1996601E+001, 2.1999735E+001, 2.1999866E+001, 2.1996873E+001, 2.1999807E+001, 2.2038761E+001, 2.2001659E+001, 2.1999844E+001, 2.1997906E+001, 2.2004235E+001, 2.2000085E+001, 2.2000458E+001, 2.1999776E+001, 2.1954438E+001, 2.2000348E+001, 2.1999384E+001, 2.1999986E+001, 2.1999602E+001, 2.1859754E+001, 2.1999607E+001, 2.1999835E+001, 2.1999449E+001, 2.2034406E+001, 2.1990570E+001, 6.6920405E+002, 2.1999822E+001, 2.1999800E+001, 2.2000068E+001, 2.1999924E+001, 2.1999912E+001, 2.1999666E+001, 2.2000114E+001, 2.1999967E+001, 2.1999821E+001, 2.1999927E+001, 2.1999975E+001, 2.7466325E+001, 2.1999687E+001, 2.2958612E+001, 2.2000185E+001, 2.2000047E+001, 2.1999997E+001, 2.1999519E+001
 3.3036247E+000, 2.1999721E+001, 2.1999640E+001, 2.1999815E+001, 2.2001232E+001, 2.1999947E+001, 2.2010031E+001, 2.1999661E+001, 2.1999900E+001, 2.1999668E+001, 2.1999932E+001, 2.2000071E+001, 2.1997695E+001, 2.1999721E+001, 2.1996491E+001, 2.1999584E+001, 2.1999761E+001, 2.1996430E+001, 2.1999617E+001, 2.2042334E+001, 2.2001440E+001, 2.1999708E+001, 2.1996402E+001, 2.2001153E+001, 2.2000102E+001, 2.2000457E+001, 2.1999594E+001, 2.1931703E+001, 2.0259036E+001, 2.1999005E+001, 2.1996000E+001, 2.1999380E+001, 2.1868340E+001, 2.1999448E+001, 2.1999758E+001, 2.1998990E+001, 2.2042624E+001, 2.1991126E+001, 6.6083255E+002, 2.1999691E+001, 2.1999661E+001, 2.1999992E+001, 2.1999802E+001, 2.1999842E+001, 2.1999519E+001, 2.2000064E+001, 2.1999887E+001, 2.1999724E+001, 2.1999941E+001, 2.1999953E+001, 2.7788979E+001, 2.1999508E+001, 2.5528555E+001, 2.2000196E+001, 2.2000030E+001, 2.1999977E+001, 2.1999283E+001
 3.6142363E+000, 2.1999420E+001, 2.1999493E+001, 2.1999703E+001, 2.2002163E+001, 2.1999937E+001, 2.2011384E+001, 2.1999490E+001, 2.1999801E+001, 2.1999611E+001, 2.1999808E+001, 2.2000019E+001, 2.1995960E+001, 2.1999607E+001, 2.1996322E+001, 2.1999367E+001, 2.1999630E+001, 2.1996264E+001, 2.1999347E+001, 2.2045194E+001, 2.2000585E+001, 2.1999524E+001, 2.1995056E+001, 2.1999414E+001, 2.2000136E+001, 2.2000174E+001, 2.1999232E+001, 2.1917088E+001, 1.2896694E+001, 2.1998484E+001, 2.1980598E+001, 2.1999243E+001, 2.1919495E+001, 2.1999278E+001, 2.1999659E+001, 2.1998362E+001, 2.2044712E+001, 2.1992048E+001, 7.8267507E+002, 2.1999544E+001, 2.1999500E+001, 2.1999896E+001, 2.1999631E+001, 2.1999778E+001, 2.1999336E+001, 2.1999950E+001, 2.1999756E+001, 2.1999544E+001, 2.1999959E+001, 2.1999851E+001, 2.7588633E+001, 2.1999305E+001, 3.0247854E+001, 2.2000159E+001, 2.2000000E+001, 2.1999945E+001, 2.1998936E+001
 3.9126293E+000, 2.1998914E+001, 2.1999323E+001, 2.1999579E+001, 2.2003060E+001, 2.1999910E+001, 2.2012175E+001, 2.1999280E+001, 2.1999667E+001, 2.1999571E+001, 2.1999640E+001, 2.1999933E+001, 2.1993632E+001, 2.1999481E+001, 2.1996230E+001, 2.1999083E+001, 2.1999475E+001, 2.1995954E+001, 2.1998984E+001, 2.2045081E+001, 2.1999629E+001, 2.1999293E+001, 2.1992175E+001, 2.1997287E+001, 2.2000166E+001, 2.1948675E+001, 2.1998822E+001, 2.1907986E+001, 1.3007405E+001, 2.1997895E+001, 2.1965492E+001, 2.1999229E+001, 2.1958794E+001, 2.1999095E+001, 2.1999499E+001, 2.1997537E+001, 2.2039243E+001, 2.1993957E+001, 8.4889836E+002, 2.1999364E+001, 2.1999296E+001, 2.1999761E+001, 2.1999405E+001, 2.1999635E+001, 2.1999115E+001, 2.1999798E+001, 2.1999588E+001, 2.1999283E+001, 2.1999980E+001, 2.1999691E+001, 2.7227092E+001, 2.1999048E+001, 3.6955933E+001, 2.2000096E+001, 2.1999962E+001, 2.1999907E+001, 2.1998503E+001
 4.2110222E+000, 2.1998177E+001, 2.1999160E+001, 2.1999466E+001, 2.2003665E+001, 2.1999899E+001, 2.2008809E+001, 2.1999044E+001, 2.1999545E+001, 2.1999538E+001, 2.1999462E+001, 2.1999814E+001, 2.1991017E+001, 2.1999361E+001, 2.1996071E+001, 2.1998765E+001, 2.1999318E+001, 2.1995840E+001, 2.1998560E+001, 2.2046066E+001, 2.1998578E+001, 2.1999026E+001, 2.1988870E+001, 2.1993812E+001, 2.2000206E+001, 1.8823800E+001, 2.1998312E+001, 2.1899852E+001, 1.5503073E+001, 2.1997171E+001, 2.2487053E+001, 2.1999201E+001, 2.1973965E+001, 2.1998915E+001, 2.1999268E+001, 2.1996504E+001, 2.2024095E+001, 2.1996504E+001, 8.7714963E+002, 2.1999170E+001, 2.1999072E+001, 2.1999581E+001, 2.1999146E+001, 2.1999473E+001, 2.1998882E+001, 2.1999643E+001, 2.1999410E+001, 2.1998968E+001, 2.2000005E+001, 2.1999518E+001, 2.7011487E+001, 2.1998762E+001, 4.4926574E+001, 2.2000021E+001, 2.1999918E+001, 2.1999867E+001, 2.1998033E+001
 4.5114096E+000, 2.1997190E+001, 2.1999009E+001, 2.1999370E+001, 2.2004223E+001, 2.1999877E+001, 2.2000815E+001, 2.1998802E+001, 2.1999479E+001, 2.1999496E+001, 2.1999292E+001, 2.1999669E+001, 2.1988513E+001, 2.1999261E+001, 2.1995310E+001, 2.1998398E+001, 2.1999162E+001, 2.1995002E+001, 2.1998000E+001, 2.2056665E+001, 2.1996271E+001, 2.1998551E+001, 2.1987168E+001, 2.1987893E+001, 2.2000196E+001, 1.8526404E+001, 2.1997601E+001, 2.1887768E+001, 1.7696450E+001, 2.1996212E+001, 2.4987668E+001, 2.1999087E+001, 2.1953261E+001, 2.1998722E+001, 2.1999007E+001, 2.1995164E+001, 2.2001262E+001, 2.1999035E+001, 8.9602523E+002, 2.1998969E+001, 2.1998849E+001, 2.1999376E+001, 2.1998893E+001, 2.1999319E+001, 2.1998662E+001, 2.1999472E+001, 2.1999230E+001, 2.1998594E+001, 2.2000027E+001, 2.1999296E+001, 2.6783774E+001, 2.1998449E+001, 5.3352323E+001, 2.1999929E+001, 2.1999872E+001, 2.1999827E+001, 2.1997349E+001
 4.8040545E+000, 2.1995941E+001, 2.1998867E+001, 2.1999276E+001, 2.2005041E+001, 2.1999840E+001, 2.1991382E+001, 2.1998508E+001, 2.1999370E+001, 2.1999430E+001, 2.1999124E+001, 2.1999506E+001, 2.1986032E+001, 2.1999151E+001, 2.1993614E+001, 2.1997947E+001, 2.1998991E+001, 2.1995443E+001, 2.1997261E+001, 2.2061771E+001, 2.1993590E+001, 2.1997545E+001, 2.1982527E+001, 2.1962428E+001, 2.2000127E+001, 1.9387253E+001, 2.1996621E+001, 2.1869375E+001, 1.8978831E+001, 2.1994785E+001, 2.3710632E+001, 2.1998778E+001, 2.1897148E+001, 2.1998501E+001, 2.1998747E+001, 2.1993344E+001, 2.1978009E+001, 2.2002779E+001, 9.2030668E+002, 2.1998741E+001, 2.1998628E+001, 2.1999174E+001, 2.1998657E+001, 2.1999176E+001, 2.1998459E+001, 2.1999309E+001, 2.1999064E+001, 2.1998192E+001, 2.2000046E+001, 2.1999063E+001, 2.6553670E+001, 2.1998093E+001, 6.2106004E+001, 2.1999835E+001, 2.1999824E+001, 2.1999789E+001, 2.1996351E+001
 5.1176027E+000, 2.1994183E+001, 2.1998698E+001, 2.1999159E+001, 2.2007097E+001, 2.1999845E+001, 2.1977472E+001, 2.1997915E+001, 2.1999871E+001, 2.1999309E+001, 2.1998902E+001, 2.1999327E+001, 2.1982255E+001, 2.1999022E+001, 2.1993616E+001, 2.1997378E+001, 2.1998797E+001, 2.1995679E+001, 2.1996260E+001, 2.2058966E+001, 2.1990408E+001, 2.1858689E+001, 2.1972201E+001, 2.1914803E+001, 2.2000002E+001, 2.0132168E+001, 2.1995243E+001, 2.1854344E+001, 1.9723666E+001, 2.1992637E+001, 2.3996833E+001, 2.1998474E+001, 2.1793011E+001, 2.1998273E+001, 2.1998457E+001, 2.1989969E+001, 2.1955736E+001, 2.2010041E+001, 9.0594712E+002, 2.1998495E+001, 2.1998386E+001, 2.1998970E+001, 2.1998401E+001, 2.1999008E+001, 2.1998237E+001, 2.1999184E+001, 2.1998916E+001, 2.1997782E+001, 2.2000070E+001, 2.1998864E+001, 2.6108956E+001, 2.1997687E+001, 7.0003134E+001, 2.1999733E+001, 2.1999767E+001, 2.1999746E+001, 2.1995243E+001
 5.4102476E+000, 2.1991619E+001, 2.1998489E+001, 2.1999019E+001, 2.2010645E+001, 2.1999910E+001, 2.1948256E+001, 2.1997431E+001, 2.2000969E+001, 2.1999140E+001, 2.1998534E+001, 2.1999097E+001, 2.1975241E+001, 2.1998901E+001, 2.1993301E+001, 2.1996659E+001, 2.1998602E+001, 2.1995610E+001, 2.1994816E+001, 2.2051504E+001, 2.1987947E+001, 2.0629585E+001, 2.1960331E+001, 2.1902036E+001, 2.1999813E+001, 2.0800070E+001, 2.1987911E+001, 2.2466348E+001, 2.0375508E+001, 2.1989595E+001, 2.9599740E+001, 2.1998140E+001, 2.1735852E+001, 2.1998056E+001, 2.1998149E+001, 2.1963230E+001, 2.1917083E+001, 2.2016350E+001, 8.2488236E+002, 2.1998284E+001, 2.1998148E+001, 2.1998771E+001, 2.1998126E+001, 2.1998835E+001, 2.1997996E+001, 2.1999094E+001, 2.1998780E+001, 2.1997368E+001, 2.2000099E+001, 2.1998715E+001, 2.5653216E+001, 2.1997276E+001, 7.4142974E+001, 2.1999607E+001, 2.1999686E+001, 2.1999693E+001, 2.1994113E+001
 5.7028925E+000, 2.1987902E+001, 2.1998250E+001, 2.1998872E+001, 2.2014432E+001, 2.1999944E+001, 2.1903207E+001, 2.1997144E+001, 2.2001306E+001, 2.1998911E+001, 2.1997961E+001, 2.1998805E+001, 2.1964113E+001, 2.1998789E+001, 2.1992058E+001, 2.1995810E+001, 2.1998420E+001, 2.1995966E+001, 2.1992803E+001, 2.2048822E+001, 2.1986720E+001, 2.0002278E+001, 2.1953188E+001, 2.1893930E+001, 2.1999596E+001, 2.1575200E+001, 2.1967928E+001, 3.3708790E+001, 2.2070278E+001, 2.1977928E+001, 3.7209170E+001, 2.1997428E+001, 2.1702513E+001, 2.1997867E+001, 2.1997874E+001, 2.1904201E+001, 2.1829859E+001, 2.2021651E+001, 8.0671807E+002, 2.1998052E+001, 2.1997816E+001, 2.1998579E+001, 2.1997285E+001, 2.1998783E+001, 2.1997777E+001, 2.1999000E+001, 2.1998650E+001, 2.1996932E+001, 2.2000129E+001, 2.1998568E+001, 2.5157627E+001, 2.1996743E+001, 7.5537879E+001, 2.1999449E+001, 2.1999591E+001, 2.1999629E+001, 2.1992709E+001
 6.0080793E+000, 2.1982378E+001, 2.1997988E+001, 2.1998731E+001, 2.2016985E+001, 2.2000020E+001, 2.1834951E+001, 2.1996855E+001, 2.2001228E+001, 2.1998569E+001, 2.1997074E+001, 2.1998445E+001, 2.1950811E+001, 2.1998668E+001, 2.1991279E+001, 2.1994755E+001, 2.1998240E+001, 2.1996087E+001, 2.1989671E+001, 2.2048001E+001, 2.1985788E+001, 1.9805780E+001, 2.1943333E+001, 2.1890796E+001, 2.1999184E+001, 2.4155962E+001, 2.1953360E+001, 6.0497368E+001, 2.5158916E+001, 2.1967290E+001, 4.7560252E+001, 2.1996959E+001, 2.1679252E+001, 2.1997668E+001, 2.1997626E+001, 2.1853573E+001, 2.1610726E+001, 2.2028272E+001, 7.6285762E+002, 2.1997885E+001, 2.1997436E+001, 2.1998392E+001, 2.1994448E+001, 2.1998618E+001, 2.1997323E+001, 2.1998873E+001, 2.1998492E+001, 2.1993502E+001, 2.2000157E+001, 2.1998293E+001, 2.4774655E+001, 2.1996346E+001, 7.4985827E+001, 2.1999258E+001, 2.1999480E+001, 2.1999558E+001, 2.1990778E+001
 6.3184920E+000, 2.1963414E+001, 2.1997725E+001, 2.1998605E+001, 2.2017534E+001, 2.1999831E+001, 2.1738456E+001, 2.1996538E+001, 2.2001013E+001, 2.1998084E+001, 2.1995596E+001, 2.1998007E+001, 2.1937144E+001, 2.1998538E+001, 2.1990111E+001, 2.1991294E+001, 2.1998045E+001, 2.1996162E+001, 2.1946986E+001, 2.2047109E+001, 2.1985033E+001, 1.9791603E+001, 2.1901795E+001, 2.1890111E+001, 2.1998450E+001, 2.6144416E+001, 2.1949619E+001, 7.4914781E+001, 3.0292861E+001, 2.1962912E+001, 4.6996616E+001, 2.1996596E+001, 2.1579426E+001, 2.1997452E+001, 2.1997372E+001, 2.1825859E+001, 2.1256253E+001, 2.2038416E+001, 8.5747809E+002, 2.1997675E+001, 2.1997257E+001, 2.1998201E+001, 2.1992799E+001, 2.1998397E+001, 2.1997009E+001, 2.1998494E+001, 2.1997649E+001, 2.1982385E+001, 2.2000181E+001, 2.1996344E+001, 2.4449263E+001, 2.1995870E+001, 7.2650197E+001, 2.1999056E+001, 2.1999356E+001, 2.1999491E+001, 2.1976842E+001
