s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"Temp_00","Temp_01","Temp_02","Temp_03","Temp_04","Temp_05","Temp_06","Temp_07","Temp_08","Temp_09","Temp_10","Temp_11","Temp_12","Temp_13","Temp_15","Temp_18","Temp_19","Temp_21","Temp_24","Temp_25","Temp_27","Temp_30","Temp_31","Temp_32","Temp_33","Temp_36","Temp_37","Temp_39","Temp_42","Temp_43","Temp_44","Temp_45","Temp_46","Temp_47","Temp_48","Temp_49","Temp_50","Temp_51","Temp_52","Temp_53","Temp_14","Temp_16","Temp_17","Temp_20","Temp_22","Temp_23","Temp_26","Temp_28","Temp_29","Temp_34","Temp_35","Temp_38","Temp_40","Temp_41","Temp_54","Temp_55"
 2.7018060E+000, 2.1999428E+001, 2.1999713E+001, 2.1999843E+001, 2.1992921E+001, 2.1997921E+001, 2.2039361E+001, 2.1999640E+001, 2.1999843E+001, 2.1999808E+001, 2.1998809E+001, 2.1999588E+001, 2.1983641E+001, 2.1999827E+001, 2.1959012E+001, 2.1999786E+001, 2.1999686E+001, 2.1992492E+001, 2.2000163E+001, 2.2604392E+001, 2.2017383E+001, 2.2009131E+001, 2.2726847E+001, 2.2448656E+001, 2.2003419E+001, 3.1314092E+001, 1.3538097E+001, 5.9233204E+002, 9.8268044E+001, 2.8467818E+001, 2.2296070E+001, 2.1999684E+001, 2.2063253E+001, 2.1999627E+001, 2.1999727E+001, 2.0924214E+001, 2.2010559E+001, 2.1987902E+001, 2.2000825E+001, 2.1999567E+001, 2.1999771E+001, 2.1999876E+001, 2.1999835E+001, 2.2000096E+001, 2.1999599E+001, 2.1999937E+001, 2.1999862E+001, 2.1999558E+001, 2.1999945E+001, 2.1999336E+001, 2.2070716E+001, 2.1999566E+001, 2.2003145E+001, 2.2000129E+001, 2.1999966E+001, 2.1999975E+001, 2.1961903E+001
 3.0046001E+000, 2.1999376E+001, 2.1999675E+001, 2.1999822E+001, 2.1992195E+001, 2.1997809E+001, 2.2052132E+001, 2.1999472E+001, 2.1999795E+001, 2.1999486E+001, 2.1995837E+001, 2.1998996E+001, 2.1928631E+001, 2.1999792E+001, 2.1902347E+001, 2.1999724E+001, 2.1999547E+001, 2.1991548E+001, 2.2000122E+001, 2.2824561E+001, 2.2022227E+001, 2.2014842E+001, 2.2838670E+001, 2.2544067E+001, 2.1995822E+001, 3.0280016E+001, 1.1946721E+001, 7.4659404E+002, 1.3609544E+002, 6.8963046E+001, 2.2305975E+001, 2.1997404E+001, 2.3849788E+001, 2.1999501E+001, 2.1999577E+001, 1.6773717E+001, 2.2005564E+001, 2.1984864E+001, 2.2001263E+001, 2.1999359E+001, 2.1999661E+001, 2.1999774E+001, 2.1999733E+001, 2.2000038E+001, 2.1999476E+001, 2.1999875E+001, 2.1999787E+001, 2.1999437E+001, 2.1999944E+001, 2.1999211E+001, 2.2080739E+001, 2.1999370E+001, 2.2003720E+001, 2.2000154E+001, 2.1999888E+001, 2.1999964E+001, 2.1862129E+001
 3.3012942E+000, 2.1999313E+001, 2.1999633E+001, 2.1999797E+001, 2.1991360E+001, 2.1997703E+001, 2.1795096E+001, 2.1999258E+001, 2.1999751E+001, 2.1999032E+001, 2.1989756E+001, 2.1997801E+001, 2.1821232E+001, 2.1999752E+001, 2.1836325E+001, 2.1999587E+001, 2.1999379E+001, 2.1990428E+001, 2.1999317E+001, 2.3031227E+001, 2.2031218E+001, 2.2020573E+001, 2.2939187E+001, 2.3485414E+001, 2.2005306E+001, 4.1365280E+001, 1.4030580E+001, 7.7839999E+002, 1.0528912E+002, 1.9528632E+002, 7.0878225E+001, 2.1993851E+001, 4.9908816E+001, 2.1999364E+001, 2.1999423E+001, 1.1264080E+001, 2.1995194E+001, 2.1981186E+001, 2.2001698E+001, 2.1999133E+001, 2.1999554E+001, 2.1999662E+001, 2.1999644E+001, 2.2000004E+001, 2.1999367E+001, 2.1999831E+001, 2.1999727E+001, 2.1999324E+001, 2.1999946E+001, 2.1999108E+001, 2.2091914E+001, 2.1999159E+001, 2.2003899E+001, 2.2000168E+001, 2.1999737E+001, 2.1999948E+001, 2.1404073E+001
 3.6013938E+000, 2.1999244E+001, 2.1999592E+001, 2.1999774E+001, 2.1990331E+001, 2.1997541E+001, 2.1460395E+001, 2.1998992E+001, 2.1999984E+001, 2.1997194E+001, 2.1981205E+001, 2.1995957E+001, 2.1709259E+001, 2.1999714E+001, 2.1793138E+001, 2.1999303E+001, 2.1999187E+001, 2.1988346E+001, 2.1996844E+001, 2.3199342E+001, 2.2045605E+001, 2.2026690E+001, 2.3004321E+001, 3.4192517E+001, 2.1834218E+001, 6.9069742E+001, 1.4770884E+001, 8.6867430E+002, 1.1993182E+002, 2.9425655E+002, 1.0714599E+002, 2.1984403E+001, 6.4448223E+001, 2.1999210E+001, 2.1999240E+001, 1.4635760E+001, 2.1977831E+001, 2.1977082E+001, 2.2001984E+001, 2.1998876E+001, 2.1999432E+001, 2.1999530E+001, 2.1999532E+001, 2.2000033E+001, 2.1999241E+001, 2.1999768E+001, 2.1999648E+001, 2.1999184E+001, 2.1999952E+001, 2.1998987E+001, 2.2104620E+001, 2.1998919E+001, 2.2003132E+001, 2.2000173E+001, 2.1999422E+001, 2.1999931E+001, 2.0573744E+001
 3.9026421E+000, 2.1999104E+001, 2.1999536E+001, 2.1999744E+001, 2.1989091E+001, 2.1997237E+001, 2.1439588E+001, 2.1998658E+001, 2.2000801E+001, 2.1940358E+001, 2.1971346E+001, 2.1996654E+001, 2.1620002E+001, 2.1999673E+001, 2.1768133E+001, 2.1998651E+001, 2.1998972E+001, 2.1985316E+001, 2.1992031E+001, 2.3276998E+001, 2.2061520E+001, 2.2033237E+001, 2.3012496E+001, 3.9800128E+001, 2.1396809E+001, 1.2732961E+002, 5.1841094E+001, 8.8584011E+002, 1.3814507E+002, 3.2435002E+002, 9.5119158E+001, 2.1958309E+001, 7.2064006E+001, 2.1999079E+001, 2.1998979E+001, 1.9016944E+001, 2.1912736E+001, 2.1972275E+001, 2.2002238E+001, 2.1998591E+001, 2.1999303E+001, 2.1999357E+001, 2.1999407E+001, 2.1999865E+001, 2.1999113E+001, 2.1999688E+001, 2.1999567E+001, 2.1998983E+001, 2.1999952E+001, 2.1998815E+001, 2.2119159E+001, 2.1998647E+001, 2.2000404E+001, 2.2000167E+001, 2.1998026E+001, 2.1999912E+001, 1.9640551E+001
 4.2004992E+000, 2.1998770E+001, 2.1999449E+001, 2.1999713E+001, 2.1987272E+001, 2.1996820E+001, 2.1761816E+001, 2.1998252E+001, 2.2001434E+001, 2.1895969E+001, 2.1958218E+001, 2.1995710E+001, 2.1665928E+001, 2.1999640E+001, 2.1768185E+001, 2.1997482E+001, 2.1998758E+001, 2.1980798E+001, 2.1984728E+001, 2.3257385E+001, 2.2084018E+001, 2.2039443E+001, 2.2956284E+001, 3.8037392E+001, 2.4837217E+001, 8.8967220E+001, 7.5708397E+001, 8.7441737E+002, 1.4735498E+002, 3.3153095E+002, 9.3489037E+001, 2.1934089E+001, 7.3924365E+001, 2.1998923E+001, 2.1998736E+001, 2.2218028E+001, 2.1692599E+001, 2.1966615E+001, 2.2002410E+001, 2.1998299E+001, 2.1999201E+001, 2.1999201E+001, 2.1999325E+001, 2.1999737E+001, 2.1999021E+001, 2.1999625E+001, 2.1999503E+001, 2.1998274E+001, 2.1999950E+001, 2.1998329E+001, 2.2135262E+001, 2.1998382E+001, 2.1991531E+001, 2.2000159E+001, 2.1992849E+001, 2.1999896E+001, 1.8836565E+001
 4.5068855E+000, 2.1998558E+001, 2.1999377E+001, 2.1999698E+001, 2.1985009E+001, 2.1996579E+001, 2.1911902E+001, 2.1997758E+001, 2.2001989E+001, 2.1903210E+001, 2.1951869E+001, 2.1988419E+001, 2.1751897E+001, 2.1999614E+001, 2.1769085E+001, 2.1995803E+001, 2.1998529E+001, 2.1975160E+001, 2.1975209E+001, 2.3178573E+001, 2.2203046E+001, 2.2045977E+001, 2.2872002E+001, 5.1315917E+001, 4.6698933E+001, 9.1779488E+001, 9.2941960E+001, 9.5133580E+002, 1.8846574E+002, 3.0932655E+002, 1.0560141E+002, 2.1914147E+001, 7.7481358E+001, 2.1998756E+001, 2.1998502E+001, 3.5977091E+001, 2.1349450E+001, 2.1960433E+001, 2.2002602E+001, 2.1997975E+001, 2.1999095E+001, 2.1999036E+001, 2.1999236E+001, 2.1999651E+001, 2.1998923E+001, 2.1999587E+001, 2.1999448E+001, 2.1998070E+001, 2.1999965E+001, 2.1998197E+001, 2.2152431E+001, 2.1998094E+001, 2.1951875E+001, 2.2000168E+001, 2.1975218E+001, 2.1999883E+001, 1.8259378E+001
 4.8045740E+000, 2.1998414E+001, 2.1999328E+001, 2.1999689E+001, 2.1982842E+001, 2.1996426E+001, 2.1982134E+001, 2.1997158E+001, 2.2002236E+001, 2.1933728E+001, 2.1951252E+001, 2.1974108E+001, 2.1836323E+001, 2.1999589E+001, 2.1767310E+001, 2.1993420E+001, 2.1998262E+001, 2.1967716E+001, 2.1965268E+001, 2.3060766E+001, 3.4086051E+001, 2.2053234E+001, 2.2788153E+001, 7.6637417E+001, 6.1967869E+001, 9.2323668E+001, 1.2466563E+002, 9.9035794E+002, 2.0512264E+002, 2.3158541E+002, 1.0029673E+002, 2.1870422E+001, 9.2947213E+001, 2.1998577E+001, 2.1998166E+001, 6.8810637E+001, 2.0949555E+001, 2.1953779E+001, 2.2002822E+001, 2.1997598E+001, 2.1998962E+001, 2.1998838E+001, 2.1999106E+001, 2.1999454E+001, 2.1998794E+001, 2.1999519E+001, 2.1999368E+001, 2.1997882E+001, 2.1999973E+001, 2.1998012E+001, 2.2169819E+001, 2.1997735E+001, 2.1871413E+001, 2.2000191E+001, 2.1952392E+001, 2.1999876E+001, 1.8120096E+001
 5.1028044E+000, 2.1998205E+001, 2.1999258E+001, 2.1999657E+001, 2.1980556E+001, 2.1996210E+001, 2.2055554E+001, 2.1996416E+001, 2.2002668E+001, 2.1934697E+001, 2.1953697E+001, 2.1955835E+001, 2.1873569E+001, 2.1999553E+001, 2.1772482E+001, 2.1989725E+001, 2.1997957E+001, 2.1959876E+001, 2.1954138E+001, 2.2920127E+001, 4.2580764E+001, 2.2060330E+001, 2.2674340E+001, 8.7606836E+001, 5.2022927E+001, 8.7571772E+001, 1.7402871E+002, 1.0159277E+003, 2.0169249E+002, 1.9797077E+002, 9.8021714E+001, 2.1823647E+001, 1.2363398E+002, 2.1998382E+001, 2.1997812E+001, 1.1428558E+002, 2.0531256E+001, 2.1946532E+001, 2.2003024E+001, 2.1997175E+001, 2.1998828E+001, 2.1998601E+001, 2.1998981E+001, 2.1999246E+001, 2.1998674E+001, 2.1999461E+001, 2.1999295E+001, 2.1997690E+001, 2.1999983E+001, 2.1997828E+001, 2.2186832E+001, 2.1997331E+001, 2.1759363E+001, 2.2000213E+001, 2.1932429E+001, 2.1999864E+001, 1.8893701E+001
 5.4064204E+000, 2.1998099E+001, 2.1999217E+001, 2.1999645E+001, 2.1978340E+001, 2.1996078E+001, 2.2043009E+001, 2.1995512E+001, 2.2004390E+001, 2.1920066E+001, 2.1956251E+001, 2.1936368E+001, 2.1889331E+001, 2.1999518E+001, 2.1766076E+001, 2.1983509E+001, 2.1997602E+001, 2.1952458E+001, 2.1942200E+001, 2.2772315E+001, 4.3342221E+001, 2.2067573E+001, 2.2527394E+001, 1.1715548E+002, 4.9976635E+001, 7.5918508E+001, 2.6121636E+002, 1.0152046E+003, 1.8959120E+002, 2.0390625E+002, 1.0252794E+002, 2.1782329E+001, 1.3773844E+002, 2.1998165E+001, 2.1997411E+001, 1.6129380E+002, 2.0095679E+001, 2.1938893E+001, 2.2003246E+001, 2.1996684E+001, 2.1998681E+001, 2.1998332E+001, 2.1998837E+001, 2.1999004E+001, 2.1998539E+001, 2.1999390E+001, 2.1999208E+001, 2.1997475E+001, 2.1999999E+001, 2.1997573E+001, 2.2202097E+001, 2.1996848E+001, 2.1673837E+001, 2.2000250E+001, 2.1921419E+001, 2.1999855E+001, 2.0508562E+001
